text_sample,persons_found
"Musicians to tackle US red tape

Musicians' groups are to tackle US visa regulations which are blamed for hindering British acts' chances of succeedin...","Nigel McCune, M, ##cCune, M, ##cCune, James Seller"
"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one o...","Bon, ##o, Larry Mullen Jr, Paul, Rees, Rees"
"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babys...","Doherty, Pete Doherty, Patrick Walden, Doherty, Doherty, Mick Jones, Doherty, Walden, Bo, Doherty, Alan, Max, Carl"
"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

...","S, Ocean, Jim Carrey, Billy Connelly, Carrey, Dennis Quaid, Carrey, Me, ##ryl Streep, Daniel Handler, Count Olaf, Carrey"
"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to num...","George Clooney, Brad Pitt, Julia Roberts, Wesley Snipes, Trinity, Tom Hank, K, Frank Sinatra, Steven Soderberg, Soderberg, Clo, ##oney, Pitt, Roberts, Matt Damon, Andy Garcia, Elliott Gould, Catherine Zeta, Jones, Dan Fellman"
"'Landmark movies' of 2004 hailed

US film professionals have declared Fahrenheit 9/11 and The Passion of the Christ as two of the most significant cul...","Mel Gibson, Michael Moore, Mar, ##lon Brando, Mar, ##lon Brando, Stanley Kowalski, Terry Mall, Tom Brokaw, Barbara Walters, Dan Rather, Janet Jackson, Steven"
"Pete Doherty misses bail deadline

Singer Pete Doherty will have to spend the weekend in jail because he could not come up with Â£150,000 bond money f...","Pete Doherty, Pete Doherty, Doherty, Alan Wass, Doherty, Wass, Doherty, Kate Moss, Doherty, Was"
"Fockers retain film chart crown

Comedy Meet The Fockers has held on to the number one spot at the North American box office for a second week.

It to...","Ben Still, Robert De Niro, Dustin Hoffman, Bar, ##bra Streisand, Paul Dergarabedian, Dergarabed, Lemon, Leonardo, Howard, Albert"
"Top gig award for Scissor Sisters

New York band Scissor Sisters have won a gig of the year award for their performance at this year's V Festival.

Th...","Pete Mitchell, Ke, David Bowie, Chris Martin"
"Johnny Depp: The acting outlaw

Johnny Depp, whose latest role was Peter Pan creator JM Barrie in Finding Neverland, is celebrated as one of Hollywood...","Johnny Depp, Johnny Depp, Peter Pan, J, ##M Barrie, Depp, Tim Burton, Depp, Pop, Nicolas Cage, Oliver Stone, Depp, Tommy Hanson, Burton, Edward Sciss, Leonardo DiCap, Burton, Ed Wood, Depp, Wood, Bras, Terry, Gill, Tim Burton, Juliette, Keith, Sylvia, Kate"
"Actress Roberts takes spider role

Actress Julia Roberts will play the part of a spider in a new film version of children's classic Charlotte's Web.

...","Roberts, Julia Roberts, Charlotte, W, ##il, ##bur, E, ##B White, Roberts, Hazel, Phi, ##nna, Op, ##rah Winfrey, John Cleese, Steve Busce, Dakota Fanning, Fe, ##rn, Gary Winick, W, ##il, ##bur"
"Film production 'falls' 40% in UK

The number of British films produced in the UK fell 40% in 2004, with movies starring Johnny Depp and Jude Law amon...","Johnny Depp, Jude Law, Jude Law, Ke, ##ira Knightley, Johnny De, Marc Samuelson, Vera Drake, Bridget Jones"
"Patti Smith to host arts festival

Rock star Patti Smith has been made artistic director of this year's Meltdown festival, to be held at London's Sout...","Patti Smith, Patti Smith, Morrissey, David Bowie, Nick Cave, Smith, Gene, Jeremy Irons, ##ust, Morrissey, Jane Birkin, Nancy Sinatra, Alan Bennett"
"Brits return Keane to number one

Brits success has helped return Keane's award-winning album Hopes and Fears back to the top of the UK album chart.

...","Ke, ##ane, Keane, Elvis, Eminem, Elvis, Presley, Elvis, Destiny, T, Lil Wayne, Brian McF, Delta Goodrem, Franz Ferdinand"
"Sundance to honour foreign films

International films will be given the same prominence as US films at next year's Sundance Film Festival, with movies...","Sean McAllister, Robert Redford, Geoffrey Gilmore, Romeo Dallair, Ke, ##anu Reeves, Benjamin Bratt, Vince Vaughn, Naomi Watts, Ellie Parker, Shane Carruth, Morgan Spurlock"
"Rapper Snoop Dogg sued for 'rape'

US rapper Snoop Dogg has been sued for $25m (Â£13m) by a make-up artist who claimed he and his entourage drugged an...","Snoop Dogg, Sno, ##op Dogg, S, ##op, Snoop Dog, Snoop Dogg, Calvin Broadus, Perry Wander"
"De Niro film leads US box office

Film star Robert De Niro has returned to the top of the North American box office with his film Hide and Seek.

The ...","De Ni, Robert De Niro, De Ni, De Niro, Bruce Snyder, Clint Eastwood, Howard Hughes, Coach Carter, Dennis, Q, ##id, Scarlett, Johansson, Pre"
"Indie film nominations announced

Mike Leigh's award-winning abortion drama Vera Drake has scooped seven nominations at this year's British Independen...","Mike Leigh, Vera Drake, Shane Meadows, Anthony Minghell, Cat, ##e Blanchett, Helena Bonham, Carter, Elliot Grove, Vera Drake, Geoffrey Rush, Peter Sellers, Daniel Craig, Phil Davis, Ian Hart, Paddy Consi, Consi, ##dine, Scarlett Johansson, E, I, ##mel, ##da Staunton, Vera Drake, Natalie Press, Anne Reid, Mother, Shane, Kevin, Douglas, Roger, Michel, Mike, Harry Potter"
"Director Nair's Vanity project

Indian film director Mira Nair has said she was thrilled to be given the chance to make William Makepeace Thackeray's ...","Nair, Mira Nair, William Makepeace Thackera, Becky Sharp, Reese Witherspoon, Nair, Nair, Nair, Mississippi Masala, Den, ##zel Washington, Nair, Becky Sharp, Nair, Becky, Sharp"
"The Sound of Music is coming home

The original stage production of The Sound of Music is to be performed for the first time in the Austrian capital, ...","Julie Andrews, von Trap, von Trap, Rodgers, Hammer, Maria, Baron, von Trapp, Sandra Pires"
